"load_condition","cluster","n_profiles","n_buildings","frequency","sizing"
"Summer weekends","Shape 1",3.3,72.4,"Frequent load shape",238.92
"Summer weekends","Shape 10",0.6,21.9,"Infrequent load shape",13.14
"Summer weekends","Shape 2",1.5,53.6,"Frequent load shape",80.4
"Summer weekends","Shape 3",0.6,35.4,"Infrequent load shape",21.24
"Summer weekends","Shape 4",0.3,12,"Infrequent load shape",3.6
"Summer weekends","Shape 5",0.6,24.5,"Infrequent load shape",14.7
"Summer weekends","Shape 6",0.3,25.5,"Infrequent load shape",7.65
"Summer weekends","Shape 7",1.6,61.5,"Frequent load shape",98.4
"Summer weekends","Shape 8",0.5,18.8,"Infrequent load shape",9.4
"Summer weekends","Shape 9",5.5,74.5,"Frequent load shape",409.75
"Summer workdays","Shape 1",6.8,57.8,"Frequent load shape",393.04
"Summer workdays","Shape 10",0.5,10.4,"Infrequent load shape",5.2
"Summer workdays","Shape 2",9.2,78.1,"Frequent load shape",718.52
"Summer workdays","Shape 3",1,34.9,"Infrequent load shape",34.9
"Summer workdays","Shape 4",3.5,34.9,"Infrequent load shape",122.15
"Summer workdays","Shape 5",0.9,22.4,"Infrequent load shape",20.16
"Summer workdays","Shape 6",5.6,56.8,"Frequent load shape",318.08
"Summer workdays","Shape 7",0.9,21.9,"Infrequent load shape",19.71
"Summer workdays","Shape 8",5.6,56.8,"Frequent load shape",318.08
"Summer workdays","Shape 9",2.3,23.4,"Infrequent load shape",53.82
"Winter weekends","Shape 1",2.8,67.7,"Frequent load shape",189.56
"Winter weekends","Shape 10",0.7,20.3,"Infrequent load shape",14.21
"Winter weekends","Shape 2",1,44.8,"Infrequent load shape",44.8
"Winter weekends","Shape 3",0.5,35.4,"Infrequent load shape",17.7
"Winter weekends","Shape 4",0.2,10.9,"Infrequent load shape",2.18
"Winter weekends","Shape 5",0.5,33.3,"Infrequent load shape",16.65
"Winter weekends","Shape 6",0.2,14.6,"Infrequent load shape",2.92
"Winter weekends","Shape 7",1.8,63.5,"Frequent load shape",114.3
"Winter weekends","Shape 8",0.5,18.2,"Infrequent load shape",9.1
"Winter weekends","Shape 9",6.1,82.8,"Frequent load shape",505.08
"Winter workdays","Shape 1",6.8,58.9,"Frequent load shape",400.52
"Winter workdays","Shape 10",0.6,13,"Infrequent load shape",7.8
"Winter workdays","Shape 2",8.1,75,"Frequent load shape",607.5
"Winter workdays","Shape 3",1.4,40.6,"Infrequent load shape",56.84
"Winter workdays","Shape 4",2.7,33.3,"Infrequent load shape",89.91
"Winter workdays","Shape 5",0.8,25,"Infrequent load shape",20
"Winter workdays","Shape 6",5.2,54.2,"Frequent load shape",281.84
"Winter workdays","Shape 7",1.2,30.2,"Infrequent load shape",36.24
"Winter workdays","Shape 8",5.3,55.2,"Frequent load shape",292.56
"Winter workdays","Shape 9",2.5,32.8,"Infrequent load shape",82
